restaurant,address,latitude,longitude,status,tables,booth,ppp,loan,jobs
Zannys,"975 Columbus Ave, New York, NY 10025",40.8003081,-73.9616751,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Roasted Masala,"914 Columbus Ave, New York, NY 10025",40.798561,-73.96377,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Elsa,"903 Columbus Ave, New York, NY 10025",40.7980143,-73.9635283,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Uncle Luoyang,"928 Amsterdam Ave, New York, NY 10025",40.80023,-73.966261,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
The Ellington,"936 Amsterdam Ave, New York, NY 10025",40.8006579,-73.9658425,Closed,0,0,"$150k-$350k, 18 jobs retained",$150k-$350k,18
La Toulousianne,"942 Amsterdam Ave, New York, NY 10025",40.8008758,-73.9656775999999,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Hamilton,"998 Amsterdam Ave, New York, NY 10025",40.8027728,-73.96439,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Flat Top,"1241 Amsterdam Ave, New York, NY 10027",40.8100471,-73.9584781,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Floridita,"2276 12th Ave, New York, NY 10027",40.817998,-73.960982,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Cascabel Taqueria,"2799 Broadway, New York, NY 10025",40.8029728,-73.9679002,Closed,0,0,"$150-350k, 0 jobs retained",$150k-$350k,0
107 West,"2787 Broadway, New York, NY 10025",40.8027323,-73.9681495,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
West End Lounge,"955 West End Ave, New York, NY 10025",40.8022977,-73.9683426,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Szechuan Garden,"239 W 105th St, New York, NY 10025",40.8005459,-73.9675471,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Manchester Diner,"2800 Broadway, New York, NY 10025",40.8029095,-73.9670091,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Saiguette,"935 Columbus Ave, New York, NY 10025",40.7989928999999,-73.9627312,Closed,0,0,"$150-350k, 21 jobs retained",$150k-$350k,21
Zaad,"963 Amsterdam Ave New York, NY 10025",40.8011679,-73.9648225,Outdoor,5,0,"$0-$150k, 0 jobs created",$0-$150k,0
Baylander,"Hudson River Greenway, New York, NY 10027",40.8134842,-73.9654375,Outdoor,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
The Tang,"920 Amsterdam Ave, New York, NY 10025",40.7999805,-73.9663666,Closed,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Chokolat,"3111 Broadway, New York, NY 10027",40.8129171,-73.9607338,Outdoor,4,0,"$0-$150k, 0 jobs created",$0-$150k,0
Miss Mamie's Spoonbread Too,"366 W 110th St, New York, NY 10025",40.8014423,-73.960906,Outdoor,4,0,"$0-$150k, 0 jobs created",$0-$150k,0
Red Hot,"1000 Columbus Ave, New York, NY 10025",40.8015291,-73.9613308,Outdoor,10,0,"$0-$150k, 0 jobs created",$0-$150k,0
Ortomare,"994 Columbus Ave, New York, NY 10025",40.8011789,-73.9617471,Outdoor,10,0,"$0-$150k, 0 jobs created",$0-$150k,0
Crêpes on Columbus,"990 Columbus Ave, New York, NY 10025",40.8010518,-73.9618311,Outdoor,8,0,"$0-$150k, 0 jobs created",$0-$150k,0
Don Ramon,"973 Columbus Ave, New York, NY 10025",40.8002891,-73.9618127999999,Outdoor,6,1,"$0-$150k, 0 jobs created",$0-$150k,0
Calaveras,"949 Columbus Ave, New York, NY 10025",40.7995536,-73.9623762,Outdoor,13,1,"$0-$150k, 0 jobs created",$0-$150k,0
Coma Bueno,"944 Columbus Ave, New York, NY 10025",40.7996425,-73.9629607999999,Outdoor,6,1,"$0-$150k, 0 jobs created",$0-$150k,0
Curry King,"942 Columbus Ave, New York, NY 10025",40.7995654,-73.9629607999999,Outdoor,3,1,"$0-$150k, 0 jobs created",$0-$150k,0
Mighty Catch,"940 Columbus Ave, New York, NY 10025",40.799521,-73.963059,Outdoor,4,0,"$0-$150k, 0 jobs created",$0-$150k,0
Bob's Your Uncle,"929 Columbus Ave, New York, NY 10025",40.7987746,-73.962823,Outdoor,8,0,"$0-$150k, 0 jobs created",$0-$150k,0
Ranchito,"924 Amsterdam Ave, New York, NY 10025",40.8000976,-73.9662705,Outdoor,4,0,"$0-$150k, 0 jobs created",$0-$150k,0
Grain House,"929 Amsterdam Ave, New York, NY 10025",40.8000226,-73.9655816,Outdoor,3,1,"$0-$150k, 0 jobs created",$0-$150k,0
Living Thai,"931 Amsterdam Ave, New York, NY 10025",40.800037,-73.9655849999999,Outdoor,4,1,"$0-$150k, 0 jobs created",$0-$150k,0
Acosta,"934 Amsterdam Ave, New York, NY 10025",40.8004399999999,-73.9661291,Outdoor,5,0,"$0-$150k, 0 jobs created",$0-$150k,0
Makana,"161 W 106th St, New York, NY 10025",40.8004171,-73.965222,Outdoor,4,0,"$0-$150k, 0 jobs created",$0-$150k,0
Mama's Pizza,"941 Amsterdam Ave, New York, NY 10025",40.8004615,-73.9653002,Outdoor,3,0,"$0-$150k, 0 jobs created",$0-$150k,0
Dive 106,"938 Amsterdam Ave, New York, NY 10025",40.8007864,-73.9658536,Outdoor,12,1,"$0-$150k, 0 jobs created",$0-$150k,0
Awash,"947 Amsterdam Ave, New York, NY 10025",40.8006863,-73.9652543,Outdoor,11,1,"$0-$150k, 0 jobs created",$0-$150k,0
Nobody Told Me,"951 Amsterdam Ave, New York, NY 10025",40.8007904,-73.965105,Outdoor,11,1,"$0-$150k, 0 jobs created",$0-$150k,0
Tropical Sensation,"953 Amsterdam Ave #1, New York, NY 10025",40.800853,-73.9650705999999,Outdoor,7,1,"$0-$150k, 0 jobs created",$0-$150k,0
Thai Market,"960 Amsterdam Ave, New York, NY 10025",40.8013469,-73.9652933,Outdoor,22,1,"$350-500k, 44 jobs retained",$350k-$500k,44
Panchos,"964 Amsterdam Ave, New York, NY 10025",40.8014793,-73.9653026,Outdoor,1,0,"$0-$150k, 0 jobs created",$0-$150k,0
La Piccola Cucina,"964 Amsterdam Ave, New York, NY 10025",40.8014793,-73.9653026,Outdoor,3,0,"$0-$150k, 0 jobs created",$0-$150k,0
Taqueria y Fonda,"968 Amsterdam Ave, New York, NY 10025",40.8016168,-73.9652074999999,Outdoor,2,0,"$0-$150k, 0 jobs created",$0-$150k,0
Spice,"975 Amsterdam Ave, New York, NY 10025",40.8015256,-73.9645585,Outdoor,6,1,"$0-$150k, 0 jobs created",$0-$150k,0
Amity Hall,"982 Amsterdam Ave, W 109th St, Manhattan, NY 10025",40.8022031,-73.9647008,Outdoor,23,1,"$150-350k, 25 jobs retained",$150k-$350k,25
Lion's Head Tavern,"995 Amsterdam Ave, New York, NY 10025",40.8021538,-73.9640539999999,Outdoor,10,1,"$0-$150k, 0 jobs created",$0-$150k,0
Roti Roll,"994 Amsterdam Ave, New York, NY 10025",40.802609,-73.964406,Outdoor,8,1,"$0-$150k, 0 jobs created",$0-$150k,0
Suite,"992 Amsterdam Ave, New York, NY 10025",40.8025791,-73.9644394,Outdoor,4,1,"$0-$150k, 0 jobs created",$0-$150k,0
Elis,"1012 Amsterdam Ave, New York, NY 10025",40.8028403,-73.9642935999999,Outdoor,11,1,"$0-$150k, 0 jobs created",$0-$150k,0
Marlow Bistro,"1018 Amsterdam Ave, New York, NY 10025",40.802973,-73.9642863,Outdoor,16,1,"$150-350k, 22 jobs retained",$150k-$350k,22
1020,"1020 Amsterdam Ave, New York, NY 10025",40.8032642,-73.9639641999999,Outdoor,13,0,"$0-$150k, 0 jobs created",$0-$150k,0
V&T,"1024 Amsterdam Ave, New York, NY 10025",40.8033908,-73.9639208999999,Outdoor,16,0,"$150-350k, 18 jobs retained",$150k-$350k,18
Hungarian Pastry Shop,"1030 Amsterdam Ave, New York, NY 10025",40.8035598,-73.9639459,Outdoor,15,0,"$0-$150k, 0 jobs created",$0-$150k,0
Tartina,"1034 Amsterdam Ave, New York, NY 10025",40.8036683,-73.9637424,Outdoor,11,0,"$0-$150k, 0 jobs created",$0-$150k,0
Arts and Crafts,"1135 Amsterdam Ave, New York, NY 10025",40.8065685,-73.9610072,Outdoor,7,0,"$0-$150k, 0 jobs created",$0-$150k,0
Elysian Fields,"1207 Amsterdam Ave, New York, NY 10027",40.8088413,-73.9592048,Outdoor,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Massawa,"1239 Amsterdam Ave, New York, NY 10027",40.8097832,-73.9585989,Outdoor,9,0,"$0-$150k, 0 jobs created",$0-$150k,0
Bar 314,"1260 Amsterdam Ave, New York, NY 10027",40.8109046999999,-73.9584591,Outdoor,7,0,"$0-$150k, 0 jobs created",$0-$150k,0
Max Caffe,"1262 Amsterdam Ave, New York, NY 10027",40.8109197,-73.9584291,Outdoor,10,0,"$0-$150k, 0 jobs created",$0-$150k,0
El Nuevo Tina,"511 W 125th St, New York, NY 10027",40.8140406,-73.9564279,Outdoor,2,0,"$0-$150k, 0 jobs created",$0-$150k,0
Dear Mama,"611 W 129th St, New York, NY 10027",40.8169696,-73.9586212,Outdoor,4,0,"$0-$150k, 0 jobs created",$0-$150k,0
Dinosaur BBQ,"700 W 125th St, New York, NY 10027",40.8180319,-73.9609174,Outdoor,29,0,"$0-$150k, 0 jobs created",$0-$150k,0
123BSB,"712 W 125th St, New York, NY 10027",40.8181571,-73.9608423,Outdoor,20,0,"$0-$150k, 0 jobs created",$0-$150k,0
Jin Ramen,"3183 Broadway, New York, NY 10027",40.8153944,-73.9588495,Outdoor,6,0,"$150-350k, 23 jobs retained",$150k-$350k,23
Expat,"64 Tiemann Pl, New York, NY 10027",40.81551,-73.960078,Outdoor,10,0,"$0-$150k, 0 jobs created",$0-$150k,0
Toast,"3157 Broadway, New York, NY 10027",40.8147935,-73.9594250999999,Outdoor,10,1,"$0-$150k, 0 jobs created",$0-$150k,0
Craftsman,"3155 Broadway, New York, NY 10027",40.8146844,-73.959471,Outdoor,13,1,"$0-$150k, 0 jobs created",$0-$150k,0
Chapati House,"3153 Broadway, New York, NY 10027",40.8146204,-73.9595628,Outdoor,3,0,"$0-$150k, 0 jobs created",$0-$150k,0
Falafel on Broadway,"3151 Broadway, New York, NY 10027",40.8145112,-73.9596088,Outdoor,4,0,"$0-$150k, 0 jobs created",$0-$150k,0
El Porton,"3151 Broadway, New York, NY 10027",40.8145112,-73.9596088,Outdoor,11,1,"$0-$150k, 0 jobs created",$0-$150k,0
Bettolona,"3143 Broadway, New York, NY 10027",40.8141969,-73.9598383,Outdoor,8,0,"$0-$150k, 0 jobs created",$0-$150k,0
Pisticci,"125 La Salle St, New York, NY 10027",40.8143328,-73.9602515999999,Outdoor,18,0,"$350k-500k, 40 jobs retained",$350k-$500k,40
Shake Shack,"2957 Broadway, New York, NY 10025",40.8079743,-73.9643383,Outdoor,8,0,"$0-$150k, 0 jobs created",$0-$150k,0
Haagen-Dazs,"2905 Broadway, New York, NY 10025",40.8064456,-73.9654262999999,Outdoor,4,0,"$0-$150k, 0 jobs created",$0-$150k,0
Wu + Nussbaum,"2897 Broadway New York, NY 10025",40.8061198,-73.965706,Outdoor,11,0,"$150-350k, 28 jobs retained",$150k-$350k,28
Community,"2893 Broadway, New York, NY 10025",40.8059632999999,-73.9657625999999,Outdoor,11,1,"$0-$150k, 0 jobs created",$0-$150k,0
Le Monde,"2885 Broadway, New York, NY 10025",40.8058863,-73.9658847,Outdoor,15,1,"$350-500k, 49 jobs retained",$350k-$500k,49
Pinkberry,"2873 Broadway, New York, NY 10025",40.805315,-73.966196,Outdoor,2,0,"$0-$150k, 0 jobs created",$0-$150k,0
Hex & Co,"2871 Broadway, New York, NY 10025",40.8052641,-73.9662326,Outdoor,3,0,"$0-$150k, 0 jobs created",$0-$150k,0
Famiglia,"2859 Broadway, New York, NY 10025",40.804876,-73.966647,Outdoor,4,0,"$0-$150k, 0 jobs created",$0-$150k,0
Fumo,"2791 Broadway, New York, NY 10025",40.8028379,-73.9681172,Outdoor,23,0,"$150-350k, 50 jobs retained",$150k-$350k,50
Serafina,"2737 Broadway, New York, NY 10025",40.8004902,-73.9683376,Outdoor,21,1,"$150-350k, 12 jobs retained",$150k-$350k,12
Tap a Keg,"2731 Broadway, New York, NY 10025",40.8003487,-73.9684709,Outdoor,11,1,"$0-$150k, 0 jobs created",$0-$150k,0
Café Du Soleil,"2723 Broadway, New York, NY 10025",40.8000562,-73.9684479,Outdoor,32,1,"$0-$150k, 0 jobs created",$0-$150k,0
Jerusalem Restaurant,"2715 Broadway, New York, NY 10025",40.7997549,-73.9685839999999,Outdoor,3,0,"$0-$150k, 0 jobs created",$0-$150k,0
Sun-chan,"2707 Broadway, New York, NY 10025",40.7995038,-73.968717,Outdoor,5,0,"$0-$150k, 0 jobs created",$0-$150k,0
Ollie's,"2705 Broadway, New York, NY 10025",40.7994458999999,-73.9687503,Outdoor,8,0,"$0-$150k, 0 jobs created",$0-$150k,0
Aangan ,"2701 Broadway, New York, NY 10025",40.7993945,-73.9687850999999,Outdoor,5,0,"$0-$150k, 0 jobs created",$0-$150k,0
McDonalds,"2726 Broadway, New York, NY 10025",40.7999227,-73.9676444,Outdoor,2,0,"$0-$150k, 0 jobs created",$0-$150k,0
Mama's Too,"2750 Broadway, New York, NY 10025",40.8008185,-73.9676358,Outdoor,7,1,"$0-$150k, 0 jobs created",$0-$150k,0
Calle Ocho,"2756 Broadway, W 106th St, New York, NY 10025",40.8009753,-73.9676468,Outdoor,13,1,"$0-$150k, 0 jobs created",$0-$150k,0
108 Food,"2794 Broadway, New York, NY 10025",40.8027098,-73.9673342999999,Outdoor,6,0,"$0-$150k, 0 jobs created",$0-$150k,0
Koronet,"2848 Broadway, New York, NY 10025",40.8044117,-73.9661291,Outdoor,6,0,"$0-$150k, 0 jobs created",$0-$150k,0
Mel's,"2850 Broadway, New York, NY 10025",40.8044372,-73.9660373,Outdoor,12,1,"$150-350k, 27 jobs retained",$150k-$350k,27
Tom's,"2880 Broadway, New York, NY 10025",40.8054491,-73.9654415,Outdoor,10,0,"$150-350k, 24 jobs retained",$150k-$350k,24
Symposium,"544 W 113th St, New York, NY 10025",40.805416,-73.964326,Outdoor,4,1,"$0-$150k, 0 jobs created",$0-$150k,0
Max Soha,"1274 Amsterdam Ave, New York, NY 10027",40.8113136,-73.9581736,Outdoor,6,0,"$0-$150k, 0 jobs created",$0-$150k,0
The Heights,"2867 Broadway, New York, NY 10025",40.8051769,-73.9663587,Outdoor,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Giovanni's,"1011 Columbus Ave, New York, NY 10025",40.8014826,-73.9609863,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Hunan Chen's Kitchen,"1003 Columbus Ave A, New York, NY 10025",40.8012776,-73.9611853,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Freda's,"993 Columbus Ave, New York, NY 10025",40.8009166999999,-73.9613138,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Demitasse,"973 Columbus Ave, New York, NY 10025",40.8002891,-73.9618127999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Sheshe,"961 Columbus Ave, New York, NY 10025",40.799918,-73.962069,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Chirping Chicken,"932 Columbus Ave, New York, NY 10025",40.7991484,-73.9632822,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Doaba Deli,"945 Columbus Ave, New York, NY 10025",40.7993994,-73.9623762,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Mekong,"917 Columbus Ave, New York, NY 10025",40.7983689,-73.9632041,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Benny's,"906 Columbus Ave, New York, NY 10025",40.7982872,-73.9637841,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Suma,"964 Amsterdam Ave, New York, NY 10025",40.8014793,-73.9653026,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Domino's,"965 Amsterdam Ave, New York, NY 10025",40.8012433,-73.9647422,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Happy Hot Hunan,"969 Amsterdam Ave, New York, NY 10025",40.8013524,-73.9646963,Outdoor,4,0,"$0-$150k, 0 jobs created",$0-$150k,0
Subway,"971 Amsterdam Ave Store 1, New York, NY 10025",40.8014295,-73.9646963,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Insomnia,"1028 Amsterdam Ave, New York, NY 10025",40.8034893,-73.9637815,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Hula Poke,"1028 Amsterdam Ave, New York, NY 10025",40.8034893,-73.9637815,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
The New York Basics,"1090 Amsterdam Ave, New York, NY 10025",40.8054543,-73.9624786999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Strokos,"1090 Amsterdam Ave, New York, NY 10025",40.8054543,-73.9624786999999,Takeout,0,0,"$150-350k, 40 jobs retained",$150k-$350k,40
Hamilton Deli,"1129 Amsterdam Ave, New York, NY 10025",40.8064744,-73.9610952,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Friedman's,"1187 Amsterdam Ave, New York, NY 10027",40.8082925,-73.9597661,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Subs Conscious,"1213 Amsterdam Ave, New York, NY 10027",40.8089695,-73.9591987,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Sliced,"1215 Amsterdam Ave, New York, NY 10027",40.8089857,-73.9591141,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Appletree Deli,"1225 Amsterdam Ave, New York, NY 10027",40.8093936,-73.9588993999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Dunkin,"1235 Amsterdam Avenue. New York, NY 10027",40.8098079,-73.9584893,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Dragon Sushi,"1264 Amsterdam Ave, New York, NY 10027",40.8110601,-73.9583998,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Dun Huang,"1268 Amsterdam Ave, New York, NY 10027",40.811138,-73.9583141,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Mellow,"1268 Amsterdam Ave, New York, NY 10027",40.811138,-73.9583141,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Nikko,"1280 Amsterdam Ave, New York, NY 10027",40.8114605,-73.9578775,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
El Puerto,"511 W 125th St, New York, NY 10027",40.8140406,-73.9564279,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Lincoln Fried Chicken,"576 W 125th St, New York, NY 10027",40.8150606,-73.9581293,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Go Go Curry,"567 W 125th St, New York, NY 10027",40.8155334,-73.9578727999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Starbucks,"3165 Broadway #3167, New York, NY 10027",40.815045,-73.959122,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Oasis Jimma Juice Bar,"3163 Broadway, New York, NY 10027",40.8149599,-73.9591725,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Peking Garden,"3163 Broadway #3, New York, NY 10027",40.8149599,-73.9591725,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Capt Loui,"3147 Broadway, New York, NY 10027",40.8142995,-73.9597465,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Kuro Kuma,"121 La Salle St, New York, NY 10027",40.8140929,-73.9600902,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
La Salle Dumpling Room,"3141 Broadway, New York, NY 10027",40.8140597,-73.9598482,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Broadway Au Lait,"3070 Broadway, New York, NY 10027",40.8113894,-73.9611314,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Prêt a Manger,"2955 Broadway, New York, NY 10025",40.8079281,-73.9643383,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Sweetgreen,"2937 Broadway, New York, NY 10025",40.8072617,-73.96488,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Starbucks,"2929 Broadway, New York, NY 10025",40.8071034,-73.9649148,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Dos Toros,"2911 Broadway, New York, NY 10025",40.8065907,-73.9652409999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Mill,"2895 Broadway, New York, NY 10025",40.8060994,-73.965745,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Shaking Crab,"2869 Broadway, New York, NY 10025",40.8052649,-73.9662306,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Samad's,"2867 Broadway, New York, NY 10025",40.8051769,-73.9663587,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Pressed Juicery,"2857 Broadway, New York, NY 10025",40.8047867,-73.9666982,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Kung Fu Tea,"2851 Broadway, New York, NY 10025",40.8046958,-73.9667079,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Five Guys,"2847 Broadway, New York, NY 10025",40.8046194,-73.9667861,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Chipotle,"2843 Broadway, New York, NY 10025",40.8044746,-73.9668469,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Six Corners Marketplace,"2755 Broadway, New York, NY 10025",40.8012986,-73.9681544,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Broadway Pizza,"2709 Broadway New York, NY 10025",40.7996265,-73.9686711,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Ben & Jerry's,"2722 Broadway, New York, NY 10025",40.7998219,-73.9678342999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Malaysian Grill,"224 W 104th St, New York, NY 10025",40.7994024,-73.9677821,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Silver Moon Bakery,"2740 Broadway, New York, NY 10025",40.8005179,-73.9676712999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Koko Wings,"248 W 106th St, New York, NY 10025",40.8009247,-73.9673689,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Absolute Bagels,"2788 Broadway, New York, NY 10025",40.802516,-73.9673998,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Gong Cha,"2810 Broadway, New York, NY 10025",40.8031948,-73.9670764999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Atlas Kitchen,"258 W 109th St, New York, NY 10025",40.8032407,-73.9669785999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
HMart Cafe,"2828 Broadway, New York, NY 10025",40.8036251,-73.9664276,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Panda Express,"2852 Broadway, New York, NY 10025",40.8045012,-73.9659454,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Tea Magic,"2878 Broadway, New York, NY 10025",40.8052781,-73.9655844999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Oren's,"2882 Broadway, New York, NY 10025",40.8055818,-73.9653076,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Dig Inn,"2884 Broadway, New York, NY 10025",40.8055612,-73.9653484,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Milano Market,"2892 Broadway, New York, NY 10025",40.8057329,-73.9652404,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Junzi,"2896 Broadway, Manhattan, NY 10025",40.8057957,-73.9650674,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
West Side Market,"2589 Broadway, New York, NY 10025",40.795879,-73.9714889999999,Takeout,0,0,"$500k-$1 million, 160 jobs retained",$500k-$1mm,160
